Codepoint	Char	Occurs	%	In docs	%	Unicode name
U+0066	f	     78425	  0.30	      12	100.00	LATIN SMALL LETTER F
U+0067	g	     99806	  0.38	      12	100.00	LATIN SMALL LETTER G
U+0068	h	     32751	  0.12	      12	100.00	LATIN SMALL LETTER H
U+0069	i	    421461	  1.59	      12	100.00	LATIN SMALL LETTER I
U+006A	j	     29277	  0.11	      12	100.00	LATIN SMALL LETTER J
U+006B	k	    110243	  0.42	      12	100.00	LATIN SMALL LETTER K
U+006C	l	    367752	  1.39	      12	100.00	LATIN SMALL LETTER L
U+006D	m	    158562	  0.60	      12	100.00	LATIN SMALL LETTER M
U+006E	n	    559384	  2.11	      12	100.00	LATIN SMALL LETTER N
U+006F	o	    223583	  0.84	      12	100.00	LATIN SMALL LETTER O
U+0070	p	    445716	  1.68	      12	100.00	LATIN SMALL LETTER P
U+0071	q	      1495	  0.01	       4	 33.33	LATIN SMALL LETTER Q
U+0072	r	    413455	  1.56	      12	100.00	LATIN SMALL LETTER R
U+0073	s	    527320	  1.99	      12	100.00	LATIN SMALL LETTER S
U+0074	t	    482926	  1.82	      12	100.00	LATIN SMALL LETTER T
U+0075	u	    316286	  1.19	      12	100.00	LATIN SMALL LETTER U
U+0076	v	     42102	  0.16	      12	100.00	LATIN SMALL LETTER V
U+0077	w	    175453	  0.66	      12	100.00	LATIN SMALL LETTER W
U+0078	x	     23914	  0.09	      12	100.00	LATIN SMALL LETTER X
U+0079	y	    104806	  0.40	      12	100.00	LATIN SMALL LETTER Y
U+007A	z	     16397	  0.06	      12	100.00	LATIN SMALL LETTER Z
U+00A7	§	        24	  0.00	       8	 66.67	SECTION SIGN
U+00B4	´	         2	  0.00	       2	 16.67	ACUTE ACCENT
U+00C1	Á	         8	  0.00	       2	 16.67	LATIN CAPITAL LETTER A WITH ACUTE
U+00C9	É	         2	  0.00	       2	 16.67	LATIN CAPITAL LETTER E WITH ACUTE
U+00CD	Í	         8	  0.00	       2	 16.67	LATIN CAPITAL LETTER I WITH ACUTE
U+00DA	Ú	       120	  0.00	       6	 50.00	LATIN CAPITAL LETTER U WITH ACUTE
U+00DD	Ý	         2	  0.00	       2	 16.67	LATIN CAPITAL LETTER Y WITH ACUTE
U+00E1	á	     18634	  0.07	      12	100.00	LATIN SMALL LETTER A WITH ACUTE
U+00E9	é	      8363	  0.03	      12	100.00	LATIN SMALL LETTER E WITH ACUTE
U+00ED	í	     21633	  0.08	      12	100.00	LATIN SMALL LETTER I WITH ACUTE
U+00F3	ó	        68	  0.00	       4	 33.33	LATIN SMALL LETTER O WITH ACUTE
U+00F6	ö	         6	  0.00	       4	 33.33	LATIN SMALL LETTER O WITH DIAERESIS
U+00FA	ú	       576	  0.00	      10	 83.33	LATIN SMALL LETTER U WITH ACUTE
U+00FD	ý	      5754	  0.02	      12	100.00	LATIN SMALL LETTER Y WITH ACUTE
U+010C	Č	       646	  0.00	      12	100.00	LATIN CAPITAL LETTER C WITH CARON
U+010D	č	      5208	  0.02	      12	100.00	LATIN SMALL LETTER C WITH CARON
U+010E	Ď	         4	  0.00	       2	 16.67	LATIN CAPITAL LETTER D WITH CARON
U+010F	ď	       408	  0.00	      12	100.00	LATIN SMALL LETTER D WITH CARON
U+011B	ě	     12372	  0.05	      12	100.00	LATIN SMALL LETTER E WITH CARON
U+0148	ň	       568	  0.00	      12	100.00	LATIN SMALL LETTER N WITH CARON
U+0158	Ř	        46	  0.00	       4	 33.33	LATIN CAPITAL LETTER R WITH CARON
U+0159	ř	      9954	  0.04	      12	100.00	LATIN SMALL LETTER R WITH CARON
U+0160	Š	        86	  0.00	      10	 83.33	LATIN CAPITAL LETTER S WITH CARON
U+0161	š	      4774	  0.02	      12	100.00	LATIN SMALL LETTER S WITH CARON
U+0164	Ť	         2	  0.00	       2	 16.67	LATIN CAPITAL LETTER T WITH CARON
U+0165	ť	       244	  0.00	      10	 83.33	LATIN SMALL LETTER T WITH CARON
U+016F	ů	      3261	  0.01	      12	100.00	LATIN SMALL LETTER U WITH RING ABOVE
U+017D	Ž	        48	  0.00	       8	 66.67	LATIN CAPITAL LETTER Z WITH CARON
U+017E	ž	      9392	  0.04	      12	100.00	LATIN SMALL LETTER Z WITH CARON
U+2013	–	         2	  0.00	       2	 16.67	EN DASH
